interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
400.00;500.00;EdgeMesurements;0;19.15;0;24;91;31;31;6.38;24;3.15;38.41;931.59;12.79;0.92;49.22;38.02;0.00
400.00;500.00;EdgeMesurements;0;77.52;73;0;92;30;30;25.84;60;12.74;55.30;3876.18;9.13;0.66;1299.37;53.67;2.00
400.00;500.00;EdgeMesurements;0;68.02;70;0;93;57;57;22.67;62;11.25;48.79;3400.88;10.35;0.75;816.46;47.98;29.00
400.00;500.00;EdgeMesurements;0;14.39;18;0;94;27;27;4.80;17;2.39;41.31;719.48;12.23;0.88;50.17;40.93;0.00
400.00;500.00;EdgeMesurements;0;15.00;18;0;95;31;31;5.00;19;2.49;41.92;749.80;12.05;0.87;70.68;41.53;0.00
500.00;600.00;EdgeMesurements;0;0.42;0;1;0;0;0;0.14;0;0.07;37.33;20.16;12.91;0.93;1.57;36.94;0.00
500.00;600.00;EdgeMesurements;0;7.17;0;7;1;17;17;2.39;7;1.18;50.96;341.80;9.45;0.68;107.38;50.01;51.00
500.00;600.00;EdgeMesurements;5;16.96;0;13;10;27;27;5.65;10;2.79;55.92;801.66;8.54;0.62;332.91;55.10;201.00
500.00;600.00;EdgeMesurements;0;13.93;0;13;11;1;1;4.64;14;2.29;49.91;664.11;9.65;0.69;229.70;49.12;100.00
500.00;600.00;EdgeMesurements;0;2.54;0;2;12;8;8;0.85;2;0.42;52.15;121.28;9.24;0.67;45.16;51.37;32.00
500.00;600.00;EdgeMesurements;0;0.85;0;1;13;0;0;0.28;1;0.14;40.48;40.48;11.90;0.86;6.06;39.39;0.00
500.00;600.00;EdgeMesurements;6;22.20;0;19;14;25;25;7.40;10;3.65;61.59;1049.41;7.76;0.56;478.64;60.79;313.00
500.00;600.00;EdgeMesurements;0;19.28;0;7;15;8;8;6.43;12;3.19;91.84;911.43;5.20;0.37;549.27;90.91;315.00
500.00;600.00;EdgeMesurements;0;7.26;0;10;16;17;17;2.42;9;1.19;41.09;343.40;11.63;0.84;39.96;40.15;0.00
500.00;600.00;EdgeMesurements;0;44.95;14;1;17;7;7;14.98;16;7.46;129.86;2125.34;3.68;0.26;1552.86;128.76;435.00
500.00;600.00;EdgeMesurements;2;37.03;1;16;18;20;20;12.34;3;6.14;112.72;1750.57;4.24;0.31;1206.59;111.50;976.00
500.00;600.00;EdgeMesurements;4;54.85;10;24;19;70;70;18.28;41;8.98;77.63;2593.12;6.15;0.44;1421.15;76.24;389.00
500.00;600.00;EdgeMesurements;0;5.41;0;7;2;9;9;1.80;7;0.89;36.84;257.91;13.08;0.94;13.86;36.36;0.00
500.00;600.00;EdgeMesurements;0;14.92;8;5;20;5;5;4.97;13;2.46;51.92;705.34;9.20;0.66;242.07;51.05;68.00
500.00;600.00;EdgeMesurements;4;31.91;3;4;21;17;17;10.64;9;5.30;101.84;1508.70;4.69;0.34;972.13;100.96;535.00
500.00;600.00;EdgeMesurements;4;25.51;5;25;22;58;58;8.50;21;4.19;48.26;1206.14;9.90;0.71;320.57;47.31;88.00
500.00;600.00;EdgeMesurements;4;53.39;10;30;23;53;53;17.80;31;8.80;64.60;2524.30;7.40;0.53;1149.82;63.62;417.00
500.00;600.00;EdgeMesurements;0;9.13;5;5;24;7;7;3.04;7;1.51;50.18;431.68;9.52;0.69;134.31;49.24;42.00
500.00;600.00;EdgeMesurements;0;80.54;17;9;25;17;17;26.85;1;13.41;186.96;3807.73;2.56;0.18;3090.62;185.08;2444.00
500.00;600.00;EdgeMesurements;0;14.94;5;6;26;11;11;4.98;10;2.46;63.13;706.37;7.57;0.54;319.76;61.97;167.00
500.00;600.00;EdgeMesurements;21;45.75;0;29;27;27;27;15.25;29;7.53;67.61;2163.19;7.07;0.51;1051.95;66.78;429.00
500.00;600.00;EdgeMesurements;0;10.05;0;14;28;11;11;3.35;13;1.65;35.94;479.05;13.41;0.97;34.76;35.49;0.00
500.00;600.00;EdgeMesurements;4;15.60;0;15;29;18;18;5.20;10;2.56;49.01;737.46;9.75;0.70;227.41;48.31;65.00
500.00;600.00;EdgeMesurements;0;19.60;0;10;3;11;11;6.53;5;3.25;91.00;926.83;5.25;0.38;567.46;90.05;454.00
500.00;600.00;EdgeMesurements;0;4.85;0;4;30;5;5;1.62;4;0.80;57.29;229.18;8.34;0.60;94.17;56.50;65.00
500.00;600.00;EdgeMesurements;0;3.51;0;4;31;3;3;1.17;4;0.57;41.45;165.80;11.53;0.83;25.39;40.58;0.00
500.00;600.00;EdgeMesurements;1;38.92;0;13;32;6;6;12.97;3;6.45;160.32;1840.07;2.98;0.21;1438.15;158.18;1056.00
500.00;600.00;EdgeMesurements;0;4.83;0;5;33;13;13;1.61;6;0.79;41.98;228.17;11.38;0.82;32.78;41.26;2.00
500.00;600.00;EdgeMesurements;2;85.33;25;13;34;32;32;28.44;33;14.15;125.49;4034.20;3.81;0.27;2885.19;124.47;787.00
500.00;600.00;EdgeMesurements;0;27.57;2;17;35;15;15;9.19;9;4.56;82.59;1303.28;5.78;0.42;761.72;81.79;538.00
500.00;600.00;EdgeMesurements;4;15.37;2;10;36;29;29;5.12;8;2.53;63.84;726.89;7.48;0.54;346.18;62.81;228.00
500.00;600.00;EdgeMesurements;3;39.57;1;31;37;72;72;13.19;22;6.50;57.77;1870.84;8.27;0.60;770.73;56.57;162.00
500.00;600.00;EdgeMesurements;3;74.60;8;5;38;15;15;24.87;18;12.30;239.65;3527.19;1.99;0.14;2979.39;237.20;1154.00
500.00;600.00;EdgeMesurements;4;52.11;3;30;39;38;38;17.37;10;8.63;75.39;2463.64;6.34;0.46;1318.44;74.53;942.00
500.00;600.00;EdgeMesurements;0;9.96;0;5;4;9;9;3.32;0;1.65;88.74;470.91;5.38;0.39;285.28;87.81;228.00
500.00;600.00;EdgeMesurements;0;23.87;4;17;40;20;20;7.96;13;3.88;73.82;1128.70;6.47;0.47;599.81;71.62;359.00
500.00;600.00;EdgeMesurements;9;55.12;9;20;41;24;24;18.37;24;9.08;83.18;2606.24;5.74;0.41;1511.98;81.79;552.00
500.00;600.00;EdgeMesurements;3;11.43;5;5;42;11;11;3.81;7;1.86;54.90;540.42;8.70;0.63;199.68;52.28;73.00
500.00;600.00;EdgeMesurements;0;23.69;4;18;43;19;19;7.90;15;3.90;60.26;1120.16;7.93;0.57;469.81;59.01;237.00
500.00;600.00;EdgeMesurements;0;41.63;10;22;44;18;18;13.88;37;6.87;62.30;1968.10;7.67;0.55;829.35;61.55;310.00
500.00;600.00;EdgeMesurements;4;46.30;9;30;45;32;32;15.43;39;7.63;54.84;2189.10;8.71;0.63;809.29;54.03;227.00
500.00;600.00;EdgeMesurements;0;24.03;0;22;46;38;38;8.01;20;3.95;53.34;1136.14;8.96;0.64;406.88;52.60;139.00
500.00;600.00;EdgeMesurements;4;61.81;0;31;47;44;44;20.60;22;10.21;99.66;2922.21;4.79;0.35;1887.27;98.43;814.00
500.00;600.00;EdgeMesurements;0;20.39;0;18;48;30;30;6.80;14;3.35;52.43;963.99;9.11;0.66;317.07;51.48;89.00
500.00;600.00;EdgeMesurements;0;134.20;0;7;49;21;21;44.73;14;22.34;1204.97;6344.87;0.40;0.03;6159.94;1222.06;4986.00
500.00;600.00;EdgeMesurements;0;11.40;0;12;5;22;22;3.80;9;1.88;45.61;539.09;10.48;0.75;134.03;44.90;42.00
500.00;600.00;EdgeMesurements;2;11.75;0;6;50;17;17;3.92;5;1.93;59.41;555.68;8.04;0.58;225.59;58.08;145.00
500.00;600.00;EdgeMesurements;0;1.57;0;2;51;2;2;0.52;2;0.26;37.41;74.81;12.88;0.93;4.62;36.93;0.00
500.00;600.00;EdgeMesurements;7;90.06;8;33;52;47;47;30.02;14;14.77;142.94;4257.86;3.34;0.24;3217.22;140.22;1368.00
500.00;600.00;EdgeMesurements;0;6.43;2;4;53;8;8;2.14;7;1.06;45.78;304.20;10.44;0.75;65.96;44.73;25.00
500.00;600.00;EdgeMesurements;2;31.83;4;16;54;20;20;10.61;9;5.19;80.56;1504.94;5.93;0.43;831.32;78.36;471.00
500.00;600.00;EdgeMesurements;0;111.45;12;16;55;48;48;37.15;24;18.52;234.86;5269.29;2.03;0.15;4487.05;234.21;1268.00
500.00;600.00;EdgeMesurements;8;44.42;1;36;56;50;50;14.81;15;7.30;64.36;2099.97;7.42;0.53;955.04;63.25;349.00
500.00;600.00;EdgeMesurements;15;43.41;9;27;57;26;26;14.47;27;7.15;53.61;2052.54;8.91;0.64;707.22;52.61;162.00
500.00;600.00;EdgeMesurements;1;10.79;4;6;58;19;19;3.60;6;1.78;53.70;510.26;8.90;0.64;187.04;52.88;74.00
500.00;600.00;EdgeMesurements;0;55.35;13;8;59;8;8;18.45;25;9.18;105.56;2617.13;4.53;0.33;1770.52;104.77;1152.00
500.00;600.00;EdgeMesurements;0;10.19;0;10;6;0;0;3.40;9;1.67;45.22;482.01;10.57;0.76;109.12;44.40;0.00
500.00;600.00;EdgeMesurements;0;51.48;9;3;60;6;6;17.16;10;8.48;199.85;2434.15;2.39;0.17;2004.59;196.30;834.00
500.00;600.00;EdgeMesurements;6;49.07;4;24;61;29;29;16.36;28;8.10;79.95;2319.99;5.98;0.43;1295.00;79.08;439.00
500.00;600.00;EdgeMesurements;0;37.55;14;2;62;2;2;12.52;15;6.22;110.44;1775.26;4.33;0.31;1212.56;109.16;344.00
500.00;600.00;EdgeMesurements;0;19.50;2;21;63;9;9;6.50;12;3.21;59.60;922.12;8.02;0.58;356.91;58.43;131.00
500.00;600.00;EdgeMesurements;0;13.62;0;11;64;6;6;4.54;8;2.24;86.94;643.92;5.50;0.40;357.76;86.04;286.00
500.00;600.00;EdgeMesurements;4;17.80;0;15;65;27;27;5.93;6;2.93;54.52;841.80;8.76;0.63;285.20;53.90;140.00
500.00;600.00;EdgeMesurements;0;6.40;0;7;66;9;9;2.13;8;1.05;39.81;305.19;12.10;0.87;42.92;38.87;0.00
500.00;600.00;EdgeMesurements;0;2.79;0;0;67;4;4;0.93;2;0.46;212.45;132.95;2.27;0.16;103.96;212.28;85.00
500.00;600.00;EdgeMesurements;0;3.46;0;2;68;7;7;1.15;5;0.57;64.85;164.87;7.43;0.53;77.79;63.59;53.00
500.00;600.00;EdgeMesurements;7;23.11;0;20;69;60;60;7.70;15;3.80;50.32;1092.78;9.50;0.68;313.46;49.56;129.00
500.00;600.00;EdgeMesurements;13;73.38;0;44;7;27;27;24.46;42;12.10;78.57;3469.61;6.08;0.44;1906.48;77.47;318.00
500.00;600.00;EdgeMesurements;0;45.06;0;23;71;22;22;15.02;20;7.46;99.15;2130.51;4.82;0.35;1384.22;98.29;654.00
500.00;600.00;EdgeMesurements;4;35.88;0;8;72;7;7;11.96;16;5.93;142.76;1696.57;3.35;0.24;1288.55;141.88;960.00
500.00;600.00;EdgeMesurements;0;12.92;0;11;73;1;1;4.31;13;2.12;52.20;611.08;9.15;0.66;184.99;51.28;0.00
500.00;600.00;EdgeMesurements;0;6.97;0;5;74;9;9;2.32;6;1.15;62.30;329.54;7.67;0.55;151.53;61.25;90.00
500.00;600.00;EdgeMesurements;5;11.99;0;10;75;13;13;4.00;2;1.93;50.46;566.74;9.47;0.68;167.07;48.49;94.00
500.00;600.00;EdgeMesurements;0;36.72;0;11;76;11;11;12.24;5;6.10;259.81;1736.23;1.84;0.13;1500.19;258.33;1067.00
500.00;600.00;EdgeMesurements;0;3.02;0;4;77;2;2;1.01;4;0.50;36.05;144.21;13.36;0.96;11.25;35.60;0.00
500.00;600.00;EdgeMesurements;0;5.55;0;4;78;4;4;1.85;5;0.91;69.60;264.67;6.92;0.50;127.05;67.77;90.00
500.00;600.00;EdgeMesurements;0;12.64;0;8;79;19;19;4.21;8;2.08;75.33;602.67;6.40;0.46;323.43;74.21;210.00
500.00;600.00;EdgeMesurements;0;22.85;0;15;8;14;14;7.62;16;3.77;71.88;1080.43;6.65;0.48;564.26;71.08;395.00
500.00;600.00;EdgeMesurements;16;10.28;0;13;80;5;5;3.43;0;1.70;36.98;514.22;13.66;0.98;9.83;36.61;0.00
500.00;600.00;EdgeMesurements;0;306.44;0;47;81;1;1;102.15;45;50.83;327.74;14905.25;1.50;0.11;13283.63;327.04;6073.00
500.00;600.00;EdgeMesurements;0;9.36;0;13;82;15;15;3.12;13;1.54;35.89;455.38;13.69;0.99;19.84;35.53;0.00
500.00;600.00;EdgeMesurements;0;305.41;0;46;83;2;2;101.80;45;50.70;330.11;14855.26;1.49;0.11;13233.14;329.44;6214.00
500.00;600.00;EdgeMesurements;12;13.72;0;22;84;14;14;4.57;0;2.27;37.35;686.08;13.52;0.97;15.01;36.99;0.00
500.00;600.00;EdgeMesurements;0;18.16;0;23;85;24;24;6.05;22;2.99;39.75;883.15;12.36;0.89;50.52;39.37;0.00
500.00;600.00;EdgeMesurements;0;60.87;0;18;86;20;20;20.29;6;10.12;177.01;2960.64;2.78;0.20;2339.14;175.49;1772.00
500.00;600.00;EdgeMesurements;34;24.55;0;34;87;17;17;8.18;0;4.06;37.30;1227.74;13.54;0.97;36.44;36.94;0.00
500.00;600.00;EdgeMesurements;0;24.77;0;32;88;36;36;8.26;34;4.07;37.43;1204.94;13.13;0.95;78.56;37.06;0.00
500.00;600.00;EdgeMesurements;25;20.65;0;29;89;24;24;6.88;0;3.42;37.55;1032.62;13.45;0.97;26.86;37.19;0.00
500.00;600.00;EdgeMesurements;0;1.52;0;2;9;1;1;0.51;2;0.25;38.20;72.42;12.61;0.91;11.33;37.28;0.00
500.00;600.00;EdgeMesurements;0;32.89;0;17;90;48;48;10.96;17;5.45;89.72;1599.55;5.48;0.39;950.80;88.86;663.00
500.00;600.00;EdgeMesurements;0;22.66;0;30;91;37;38;7.55;29;3.73;37.82;1102.33;12.99;0.94;59.97;37.44;0.00
500.00;600.00;EdgeMesurements;0;128.73;75;0;92;28;28;42.91;47;21.23;95.66;6436.29;5.28;0.38;3975.06;93.54;476.89
500.00;600.00;EdgeMesurements;0;96.43;74;0;93;53;53;32.14;46;15.89;71.42;4821.42;7.07;0.51;2346.39;69.70;451.20
500.00;600.00;EdgeMesurements;0;14.39;18;0;94;20;20;4.80;18;2.39;39.70;719.67;12.72;0.92;59.19;39.31;0.00
500.00;600.00;EdgeMesurements;0;13.00;18;0;95;58;58;4.33;17;2.16;39.51;649.87;12.78;0.92;47.11;39.13;0.00
600.00;700.00;EdgeMesurements;0;2.16;0;2;0;9;9;0.72;1;0.36;60.56;103.13;7.96;0.57;35.18;59.70;21.00
600.00;700.00;EdgeMesurements;0;7.79;0;6;1;13;13;2.60;9;1.28;60.00;371.65;8.03;0.58;154.70;59.04;84.00
600.00;700.00;EdgeMesurements;8;17.52;0;19;10;30;30;5.84;7;2.88;47.69;828.44;10.02;0.72;240.60;47.08;102.00
600.00;700.00;EdgeMesurements;0;13.76;0;20;11;21;21;4.59;15;2.26;41.72;655.88;11.55;0.83;125.77;41.07;26.00
600.00;700.00;EdgeMesurements;0;2.48;0;3;12;5;5;0.83;2;0.41;48.07;118.45;10.02;0.72;32.96;47.32;18.00
600.00;700.00;EdgeMesurements;0;2.08;0;3;13;2;2;0.69;2;0.34;46.40;99.21;10.38;0.75;11.98;45.03;0.00
600.00;700.00;EdgeMesurements;14;16.52;0;18;14;31;31;5.51;8;2.71;40.38;781.19;11.83;0.85;119.31;39.80;47.00
600.00;700.00;EdgeMesurements;0;13.52;0;11;15;11;11;4.51;9;2.23;60.34;639.31;7.92;0.57;278.94;59.47;168.00
600.00;700.00;EdgeMesurements;0;6.51;0;6;16;19;19;2.17;7;1.07;40.18;307.76;11.89;0.86;37.13;39.35;0.00
600.00;700.00;EdgeMesurements;0;34.24;13;2;17;10;10;11.41;19;5.67;102.87;1618.74;4.64;0.33;1057.63;101.97;285.00
600.00;700.00;EdgeMesurements;1;41.05;1;7;18;6;6;13.68;10;6.70;220.04;1940.62;2.17;0.16;1630.89;215.15;737.00
600.00;700.00;EdgeMesurements;0;74.84;11;29;19;66;67;24.95;2;12.43;112.49;3538.35;4.25;0.31;2471.05;111.33;1965.00
600.00;700.00;EdgeMesurements;0;5.68;0;8;2;9;9;1.89;6;0.94;36.91;270.64;13.05;0.94;16.16;36.44;0.00
600.00;700.00;EdgeMesurements;0;15.80;10;7;20;9;9;5.27;12;2.61;49.52;746.95;9.65;0.69;209.91;48.79;97.00
600.00;700.00;EdgeMesurements;7;43.29;3;20;21;22;22;14.43;18;7.17;93.56;2046.64;5.11;0.37;1264.45;92.80;912.00
600.00;700.00;EdgeMesurements;3;16.53;5;4;22;11;11;5.51;22;2.72;49.82;781.42;9.59;0.69;229.41;48.89;84.00
600.00;700.00;EdgeMesurements;6;35.15;9;22;23;37;37;11.72;33;5.79;53.39;1662.05;8.95;0.64;554.40;52.63;197.00
600.00;700.00;EdgeMesurements;0;9.55;4;4;24;11;11;3.18;10;1.57;48.06;451.67;9.94;0.72;128.03;47.10;44.00
600.00;700.00;EdgeMesurements;4;84.44;15;5;25;16;16;28.15;27;14.01;185.06;3992.25;2.58;0.19;3245.53;184.14;1422.00
600.00;700.00;EdgeMesurements;0;20.12;5;10;26;14;14;6.71;12;3.32;68.65;951.45;6.96;0.50;446.09;67.60;182.00
600.00;700.00;EdgeMesurements;10;30.46;0;26;27;36;36;10.15;16;5.03;52.63;1440.14;9.08;0.65;481.86;51.99;260.00
600.00;700.00;EdgeMesurements;0;14.51;0;18;28;15;15;4.84;21;2.39;39.45;691.71;12.21;0.88;59.21;38.95;0.00
600.00;700.00;EdgeMesurements;5;16.61;0;16;29;18;18;5.54;10;2.71;50.97;785.09;9.37;0.67;250.88;49.68;94.00
600.00;700.00;EdgeMesurements;0;18.63;0;8;3;13;13;6.21;9;3.08;103.81;880.75;4.60;0.33;582.37;102.90;431.00
600.00;700.00;EdgeMesurements;0;7.45;0;5;30;6;6;2.48;2;1.23;71.31;352.22;6.70;0.48;178.06;70.45;115.00
600.00;700.00;EdgeMesurements;0;2.62;0;3;31;1;1;0.87;3;0.43;41.35;124.06;11.55;0.83;15.35;40.49;0.00
600.00;700.00;EdgeMesurements;1;53.98;0;12;32;30;30;17.99;9;8.82;222.87;2552.39;2.14;0.15;2142.90;217.69;1291.00
600.00;700.00;EdgeMesurements;0;4.20;0;5;33;6;6;1.40;5;0.69;39.75;198.73;12.02;0.87;37.09;39.04;1.00
600.00;700.00;EdgeMesurements;1;94.83;22;9;34;16;16;31.61;16;15.76;166.05;4483.70;2.88;0.21;3571.11;164.75;1243.00
600.00;700.00;EdgeMesurements;0;60.79;2;30;35;19;19;20.26;12;10.09;114.85;2874.38;4.16;0.30;1999.56;113.87;1246.00
600.00;700.00;EdgeMesurements;5;24.67;2;22;36;25;25;8.22;0;4.08;59.38;1166.21;8.05;0.58;500.97;58.80;350.00
600.00;700.00;EdgeMesurements;0;37.23;1;6;37;26;26;12.41;19;6.17;141.02;1760.12;3.39;0.24;1301.79;140.25;577.00
600.00;700.00;EdgeMesurements;2;83.26;10;12;38;13;13;27.75;13;13.84;255.30;3936.50;1.87;0.13;3394.37;254.29;2412.00
600.00;700.00;EdgeMesurements;6;57.07;3;27;39;38;38;19.02;35;9.42;94.98;2698.24;5.03;0.36;1716.02;93.97;963.00
600.00;700.00;EdgeMesurements;0;20.27;0;5;4;13;13;6.76;3;3.37;193.92;958.59;2.46;0.18;781.78;191.89;684.00
600.00;700.00;EdgeMesurements;1;40.58;6;17;40;51;51;13.53;21;6.62;74.25;1918.68;6.44;0.46;1034.36;72.26;322.00
600.00;700.00;EdgeMesurements;8;73.57;11;26;41;27;27;24.52;32;12.18;91.85;3478.31;5.20;0.37;2143.38;90.84;579.00
600.00;700.00;EdgeMesurements;1;15.15;5;7;42;20;20;5.05;6;2.50;64.21;716.44;7.44;0.54;337.44;62.52;191.00
600.00;700.00;EdgeMesurements;0;45.00;5;12;43;18;18;15.00;17;7.47;103.84;2127.65;4.60;0.33;1420.03;102.97;966.00
600.00;700.00;EdgeMesurements;0;34.98;11;18;44;20;20;11.66;31;5.77;54.96;1654.03;8.69;0.63;604.43;54.22;186.00
600.00;700.00;EdgeMesurements;0;42.23;9;26;45;23;23;14.08;32;6.96;57.27;1996.69;8.34;0.60;790.09;56.33;199.00
600.00;700.00;EdgeMesurements;0;23.59;0;22;46;26;26;7.86;25;3.88;49.23;1115.45;9.71;0.70;329.22;48.44;125.00
600.00;700.00;EdgeMesurements;4;66.97;0;30;47;30;30;22.32;19;11.06;117.58;3166.56;4.06;0.29;2225.60;116.00;744.00
600.00;700.00;EdgeMesurements;0;15.02;0;13;48;35;35;5.01;17;2.46;53.89;710.24;8.87;0.64;252.92;52.78;104.00
600.00;700.00;EdgeMesurements;0;116.88;0;0;49;4;4;38.96;12;19.46;770.51;5525.96;0.62;0.04;5274.34;774.78;2936.00
600.00;700.00;EdgeMesurements;0;11.02;0;12;5;41;41;3.67;14;1.81;41.03;521.10;11.64;0.84;78.78;40.37;22.00
600.00;700.00;EdgeMesurements;1;10.30;0;6;50;4;4;3.43;6;1.70;79.01;487.17;6.05;0.44;287.93;77.90;216.00
600.00;700.00;EdgeMesurements;0;1.51;0;2;51;2;2;0.50;2;0.25;35.96;71.92;13.40;0.96;4.13;35.50;0.00
600.00;700.00;EdgeMesurements;2;114.92;10;17;52;40;40;38.31;23;19.10;161.66;5433.54;2.96;0.21;4277.49;160.57;2290.00
600.00;700.00;EdgeMesurements;0;2.95;2;0;53;1;1;0.98;3;0.49;48.18;139.66;9.92;0.71;46.16;46.80;25.00
600.00;700.00;EdgeMesurements;1;36.74;4;20;54;44;44;12.25;25;6.03;74.60;1737.15;6.40;0.46;903.64;73.23;423.00
600.00;700.00;EdgeMesurements;0;108.92;12;9;55;66;66;36.31;24;18.11;197.20;5149.79;2.42;0.17;4230.90;196.15;691.00
600.00;700.00;EdgeMesurements;6;85.30;1;46;56;68;68;28.43;33;14.00;97.48;4032.97;4.90;0.35;2596.55;95.60;647.00
600.00;700.00;EdgeMesurements;7;28.53;8;15;57;5;5;9.51;12;4.71;66.57;1348.74;7.18;0.52;614.36;65.67;349.00
600.00;700.00;EdgeMesurements;3;16.69;5;12;58;22;22;5.56;10;2.73;52.23;788.99;9.15;0.66;257.49;49.71;125.00
600.00;700.00;EdgeMesurements;0;53.25;13;18;59;15;15;17.75;25;8.82;90.83;2517.89;5.26;0.38;1545.52;90.03;962.00
600.00;700.00;EdgeMesurements;0;8.92;0;9;6;0;0;2.97;10;1.46;48.73;421.90;9.81;0.71;116.94;47.79;0.00
600.00;700.00;EdgeMesurements;0;55.95;9;1;60;0;0;18.65;7;9.30;290.65;2645.26;1.64;0.12;2327.44;287.54;1181.00
600.00;700.00;EdgeMesurements;2;56.92;3;40;61;21;21;18.97;31;9.39;69.39;2691.41;6.89;0.50;1325.72;68.52;391.00
600.00;700.00;EdgeMesurements;0;40.66;14;4;62;2;2;13.55;15;6.74;120.50;1922.40;3.97;0.29;1361.05;119.30;319.00
600.00;700.00;EdgeMesurements;0;38.19;2;26;63;35;35;12.73;21;6.30;59.29;1805.66;8.06;0.58;764.44;58.39;250.00
600.00;700.00;EdgeMesurements;0;19.79;0;10;64;5;5;6.60;6;3.28;91.64;935.86;5.21;0.38;578.85;90.73;418.00
600.00;700.00;EdgeMesurements;5;17.21;0;16;65;27;27;5.74;21;2.81;48.30;813.46;9.89;0.71;238.17;47.40;74.00
600.00;700.00;EdgeMesurements;0;7.88;0;10;66;13;13;2.63;9;1.29;39.15;375.52;12.31;0.89;38.60;38.27;0.00
600.00;700.00;EdgeMesurements;0;2.45;0;2;68;3;3;0.82;2;0.40;55.59;116.89;8.67;0.62;44.57;54.35;24.00
600.00;700.00;EdgeMesurements;3;24.78;0;20;69;66;66;8.26;8;4.08;65.91;1171.71;7.25;0.52;528.48;65.12;326.00
600.00;700.00;EdgeMesurements;0;110.04;0;45;7;24;24;36.68;1;18.30;136.89;5202.55;3.49;0.25;3888.58;135.49;2928.00
600.00;700.00;EdgeMesurements;0;46.10;0;16;71;16;16;15.37;20;7.64;121.39;2179.58;3.94;0.28;1565.23;120.55;677.00
600.00;700.00;EdgeMesurements;1;12.22;0;6;72;6;6;4.07;6;2.01;97.45;577.93;4.90;0.35;374.14;95.63;293.00
600.00;700.00;EdgeMesurements;0;11.12;0;10;73;0;0;3.71;10;1.82;49.63;525.72;9.63;0.69;150.94;48.71;0.00
600.00;700.00;EdgeMesurements;0;7.78;0;8;74;11;11;2.59;6;1.28;50.76;368.04;9.41;0.68;128.28;49.84;63.00
600.00;700.00;EdgeMesurements;6;13.31;0;10;75;16;16;4.44;4;2.18;62.90;629.50;7.60;0.55;284.09;61.49;179.00
600.00;700.00;EdgeMesurements;0;75.97;0;26;76;45;45;25.32;3;12.63;215.48;3592.04;2.22;0.16;3008.58;213.46;2136.00
600.00;700.00;EdgeMesurements;0;0.81;0;1;77;0;0;0.27;1;0.13;38.67;38.67;12.46;0.90;1.65;38.20;0.00
600.00;700.00;EdgeMesurements;0;5.94;0;1;78;4;4;1.98;4;0.97;97.42;283.09;4.95;0.36;185.32;94.93;139.00
600.00;700.00;EdgeMesurements;0;10.87;0;9;79;41;41;3.62;9;1.79;57.61;518.50;8.36;0.60;209.36;56.76;125.00
600.00;700.00;EdgeMesurements;0;22.83;0;14;8;22;22;7.61;15;3.77;77.06;1079.55;6.20;0.45;596.37;76.16;403.00
600.00;700.00;EdgeMesurements;14;10.76;0;15;80;7;7;3.59;0;1.78;37.94;538.12;13.31;0.96;12.78;37.58;0.00
600.00;700.00;EdgeMesurements;0;307.37;0;45;81;0;0;102.46;46;51.00;331.12;14950.64;1.48;0.11;13340.20;330.51;6202.00
600.00;700.00;EdgeMesurements;0;12.37;0;16;82;13;13;4.12;15;2.03;38.08;601.60;12.91;0.93;26.14;37.70;0.00
600.00;700.00;EdgeMesurements;0;307.93;0;45;83;0;0;102.64;45;51.09;333.11;14977.86;1.48;0.11;13357.99;332.41;6208.00
600.00;700.00;EdgeMesurements;22;18.05;0;20;84;19;19;6.02;0;2.99;40.15;902.64;12.58;0.91;25.57;39.76;0.00
600.00;700.00;EdgeMesurements;0;15.36;0;19;85;19;19;5.12;20;2.53;39.01;747.00;12.60;0.91;39.40;38.62;0.00
600.00;700.00;EdgeMesurements;0;85.59;0;20;86;8;8;28.53;6;14.24;266.15;4163.07;1.85;0.13;3604.70;264.08;2814.00
600.00;700.00;EdgeMesurements;29;22.89;0;30;87;17;17;7.63;0;3.78;37.05;1144.46;13.63;0.98;37.07;36.70;0.00
600.00;700.00;EdgeMesurements;0;23.87;0;30;88;35;35;7.96;30;3.93;37.96;1161.13;12.95;0.93;75.57;37.59;0.00
600.00;700.00;EdgeMesurements;31;23.68;0;31;89;20;20;7.89;0;3.92;38.01;1184.20;13.28;0.96;28.06;37.64;0.00
600.00;700.00;EdgeMesurements;0;2.58;0;3;9;4;4;0.86;3;0.42;40.16;123.17;12.00;0.86;15.84;39.07;0.00
600.00;700.00;EdgeMesurements;0;34.33;0;17;90;30;30;11.44;17;5.69;93.63;1669.83;5.25;0.38;1038.75;92.83;744.00
600.00;700.00;EdgeMesurements;0;22.93;0;30;91;36;36;7.64;31;3.77;37.67;1115.08;13.04;0.94;61.38;37.30;0.00
600.00;700.00;EdgeMesurements;0;185.84;73;0;92;21;21;61.95;45;30.75;159.83;9292.02;3.16;0.23;7172.52;157.43;1407.30
600.00;700.00;EdgeMesurements;0;151.18;73;0;93;45;45;50.39;45;24.98;121.45;7558.94;4.16;0.30;5296.78;119.21;882.15
